provider_id,hospital_name,address,city,state,zip_code,phone_number,score,sample,hospital_overall_rating,lng,lat,msa
220031,"BOSTON MEDICAL CENTER CORPORATION-","1 BOSTON MEDICAL CENTER PLACE",BOSTON,MA,02118,6176388000,70,314,3,-71.06,42.35,"Metropolitan Statistical Area"
10005,"MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH",BOAZ,AL,35957,2565938310,23,1523,2,-86.15,34.2,
220065,"NOBLE HOSPITAL","115 WEST SILVER STREET",WESTFIELD,MA,01085,4135682811,20,384,4,-72.75,42.13,"Metropolitan Statistical Area"
220060,"BETH ISRAEL DEACONESS HOSPITAL - PLYMOUTH","275 SANDWICH STREET",PLYMOUTH,MA,02360,5087462000,25,410,4,-70.66,41.95,"Metropolitan Statistical Area"
220020,"SAINT ANNE'S HOSPITAL","795 MIDDLE STREET","FALL RIVER",MA,02721,5086745600,38,375,3,-71.1,41.71,"Metropolitan Statistical Area"
220108,"BETH ISRAEL DEACONESS HOSPITAL-MILTON INC","199 REEDSDALE ROAD",MILTON,MA,02186,6176964600,26,385,3,-71.08,42.24,"Metropolitan Statistical Area"
220077,"BAYSTATE MEDICAL CENTER","759 CHESTNUT STREET",SPRINGFIELD,MA,01199,4137940000,40,394,4,-72.53,42.11,"Metropolitan Statistical Area"
10012,"DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","FORT PAYNE",AL,35968,2568453150,32,428,3,-85.69,34.45,
420086,"PALMETTO HEALTH BAPTIST","1330 TAYLOR AT MARION ST",COLUMBIA,SC,29220,8032965678,36,481,2,-81.03,34.0,"Metropolitan Statistical Area"
220071,"MASSACHUSETTS GENERAL HOSPITAL","55 FRUIT STREET",BOSTON,MA,02114,6177262000,28,390,4,-71.06,42.35,"Metropolitan Statistical Area"
220074,"SOUTHCOAST HOSPITAL GROUP, INC","363 HIGHLAND AVENUE","FALL RIVER",MA,02720,5086793131,30,501,3,-71.1,41.71,"Metropolitan Statistical Area"
220035,"NORTH SHORE MEDICAL CENTER -","81 HIGHLAND AVENUE",SALEM,MA,01970,9787411215,53,370,4,-70.9,42.51,"Metropolitan Statistical Area"
220075,"MASSACHUSETTS EYE AND EAR INFIRMARY -","243 CHARLES STREET",BOSTON,MA,02114,6175237900,71,440,"Not Available",-71.06,42.35,"Metropolitan Statistical Area"
220052,"SIGNATURE HEALTHCARE BROCKTON HOSPITAL","680 CENTER STREET",BROCKTON,MA,02302,5089417000,37,396,2,-71.02,42.08,"Metropolitan Statistical Area"
220110,"BRIGHAM AND WOMEN'S HOSPITAL","75 FRANCIS STREET",BOSTON,MA,02115,6177325500,24,380,4,-71.06,42.35,"Metropolitan Statistical Area"
220046,"BERKSHIRE MEDICAL CENTER INC - 1","725 NORTH STREET",PITTSFIELD,MA,01201,4134472000,26,408,3,-73.26,42.45,"Metropolitan Statistical Area"
220070,"HALLMARK HEALTH SYSTEM","585 LEBANON STREET",MELROSE,MA,02176,7819793000,47,359,3,-71.05,42.45,"Metropolitan Statistical Area"
220024,"HOLYOKE MEDICAL CENTER","575 BEECH STREET",HOLYOKE,MA,01040,4135342500,44,480,3,-72.64,42.21,"Metropolitan Statistical Area"
220030,"BAYSTATE WING HOSPITAL AND MEDICAL CENTERS","40 WRIGHT STREET",PALMER,MA,01069,4132837651,36,509,5,-72.32,42.16,"Metropolitan Statistical Area"
220080,"HOLY FAMILY HOSPITAL","70 EAST STREET",METHUEN,MA,01844,9786870156,31,370,4,-71.18,42.71,"Metropolitan Statistical Area"
10032,"WEDOWEE HOSPITAL","209 NORTH MAIN STREET",WEDOWEE,AL,36278,2563572111,24,430,4,-85.48,33.3,
220073,"MORTON HOSPITAL","88 WASHINGTON STREET",TAUNTON,MA,02780,5088287000,40,352,2,-71.09,41.9,"Metropolitan Statistical Area"
220163,"UMASS MEMORIAL MEDICAL CENTER INC","55 LAKE AVENUE NORTH",WORCESTER,MA,01655,5083341000,46,380,1,-71.8,42.26,"Metropolitan Statistical Area"
220098,"NASHOBA VALLEY MEDICAL CENTER","200 GROTON ROAD",AYER,MA,01432,9787849000,28,342,3,-71.58,42.56,"Metropolitan Statistical Area"
220066,"MERCY MEDICAL CTR","271 CAREW STREET",SPRINGFIELD,MA,01104,4137489000,52,404,2,-72.53,42.11,"Metropolitan Statistical Area"
220063,"LOWELL GENERAL HOSPITAL","295 VARNUM AVENUE",LOWELL,MA,01854,9789376000,74,549,2,-71.32,42.63,"Metropolitan Statistical Area"
230151,"BEAUMONT HOSPITAL - FARMINGTON HILLS","28050 GRAND RIVER AVENUE","FARMINGTON HILLS",MI,48336,2484718000,13,386,2,-83.37,42.46,"Metropolitan Statistical Area"
230015,"THREE RIVERS HEALTH","701 S HEALTH PARKWAY","THREE RIVERS",MI,49093,2692739602,34,772,3,-85.63,41.94,
