Provider_ID,ZIP_Code,Hospital_overall_rating
10005,35957,2
10012,35968,3
10032,36278,4
10095,36744,3
10131,35801,2
11304,36904,Not Available
20018,99559,3
21308,99762,Not Available
21309,99576,Not Available
21310,99752,Not Available
30071,86504,1
30074,85634,Not Available
30084,86503,3
31308,85147,Not Available
40007,72205,1
40018,72956,3
40050,71701,3
40154,72032,Not Available
41324,72110,Not Available
41328,71653,2
50054,92220,2
50103,90033,3
50138,90027,3
50145,93940,5
50224,92663,4
50280,96001,2
50309,95661,4
50488,94546,3
50567,92691,5
51317,95422,3
53302,90027,Not Available
53306,92691,Not Available
61325,81641,Not Available
61326,80863,Not Available
70006,6904,2
70016,6706,4
70029,6010,3
80003,19805,4
100054,32578,4
100137,33837,1
100183,33134,3
100204,32605,3
100209,33175,2
100244,33990,2
21301,99686,Not Available
21304,99833,Not Available
21307,99574,Not Available
110030,30120,2
110038,31792,4
110041,30535,2
110128,30474,3
111335,31310,3
120028,96743,3
130013,83686,3
140002,62002,2
140007,60435,1
131323,83340,Not Available
140015,62301,3
140018,60608,1
140052,62002,3
140118,60406,2
140191,60426,4
140258,60007,5
140286,60115,3
141302,61036,Not Available
141306,62088,Not Available
141328,62982,Not Available
141346,62471,Not Available
141349,62286,Not Available
143300,60611,Not Available
150069,47250,4
150089,47303,4
150128,46227,3
160089,52501,3
161377,52544,4
170166,67950,3
171303,67839,Not Available
171312,67029,Not Available
171318,67361,Not Available
171322,67878,Not Available
171324,67870,Not Available
171338,66534,Not Available
171344,66757,4
171382,66002,3
180010,40504,1
180080,40701,2
190116,71220,3
190144,71055,3
190145,71342,4
200018,4769,4
191318,71334,Not Available
200033,4401,2
210011,21229,1
201312,4915,4
220010,1842,3
220171,1803,3
221300,2557,4
230110,49431,4
230132,48503,1
230197,48439,2
230269,48085,4
230273,48201,2
230277,48382,2
231303,49854,4
231322,49720,4
231323,49677,4
240206,56671,Not Available
241300,56557,Not Available
241306,56277,4
241358,56633,Not Available
241379,56531,Not Available
250006,38652,4
250027,39339,Not Available
250057,39601,3
250060,39069,Not Available
250084,39120,2
250097,39649,2
250127,39350,Not Available
260020,63141,5
251307,39341,Not Available
251309,39631,2
260032,63110,2
260108,63131,4
260141,65212,3
260142,65340,3
260183,63703,3
260214,64012,4
261318,65560,4
261335,65548,Not Available
261336,63663,Not Available
263301,63110,Not Available
270003,59601,4
270074,59417,Not Available
271304,59442,Not Available
271321,59036,Not Available
271339,59022,Not Available
280009,68848,4
280013,68198,3
281300,68920,Not Available
281301,68361,4
281302,68420,Not Available
281303,68746,Not Available
281309,68446,Not Available
281312,68640,Not Available
