provider_id,hospital_name,address,city,state,zip_code,phone_number,score,sample,hospital_overall_rating,lng,lat,msa
220031,"BOSTON MEDICAL CENTER CORPORATION-","1 BOSTON MEDICAL CENTER PLACE",BOSTON,MA,02118,6176388000,70,314,3,-71.07276,42.338724,"Metropolitan Statistical Area"
10005,"MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH",BOAZ,AL,35957,2565938310,23,1523,2,-86.1728,34.203621,
220065,"NOBLE HOSPITAL","115 WEST SILVER STREET",WESTFIELD,MA,01085,4135682811,20,384,4,-72.75029,42.133642,"Metropolitan Statistical Area"
220060,"BETH ISRAEL DEACONESS HOSPITAL - PLYMOUTH","275 SANDWICH STREET",PLYMOUTH,MA,02360,5087462000,25,410,4,-70.61999,41.894676,"Metropolitan Statistical Area"
220020,"SAINT ANNE'S HOSPITAL","795 MIDDLE STREET","FALL RIVER",MA,02721,5086745600,38,375,3,-71.15425,41.685452,"Metropolitan Statistical Area"
220108,"BETH ISRAEL DEACONESS HOSPITAL-MILTON INC","199 REEDSDALE ROAD",MILTON,MA,02186,6176964600,26,385,3,-71.07496,42.253074,"Metropolitan Statistical Area"
220077,"BAYSTATE MEDICAL CENTER","759 CHESTNUT STREET",SPRINGFIELD,MA,01199,4137940000,40,394,4,-72.604983,42.119943,"Metropolitan Statistical Area"
10012,"DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","FORT PAYNE",AL,35968,2568453150,32,428,3,-85.76744,34.460537,
420086,"PALMETTO HEALTH BAPTIST","1330 TAYLOR AT MARION ST",COLUMBIA,SC,29220,8032965678,36,481,2,-80.970766,34.005992,"Metropolitan Statistical Area"
220071,"MASSACHUSETTS GENERAL HOSPITAL","55 FRUIT STREET",BOSTON,MA,02114,6177262000,28,390,4,-71.06774,42.361792,"Metropolitan Statistical Area"
220074,"SOUTHCOAST HOSPITAL GROUP, INC","363 HIGHLAND AVENUE","FALL RIVER",MA,02720,5086793131,30,501,3,-71.13986,41.716952,"Metropolitan Statistical Area"
