Provider_ID,Hospital_Name,Address,City,State,ZIP_Code,Phone_Number,Condition,Score,Sample,Location,Hospital_overall_rating
220031,"BOSTON MEDICAL CENTER CORPORATION-","1 BOSTON MEDICAL CENTER PLACE",BOSTON,MA,2118,6176388000,"Emergency Department",70,314,"1 BOSTON MEDICAL CENTER PLACE
BOSTON, MA
(42.33481, -71.07448)",3
10005,"MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH",BOAZ,AL,35957,2565938310,"Emergency Department",23,1523,"2505 U S HIGHWAY 431 NORTH
BOAZ, AL
",2
220065,"NOBLE HOSPITAL","115 WEST SILVER STREET",WESTFIELD,MA,1085,4135682811,"Emergency Department",20,384,"115 WEST SILVER STREET
WESTFIELD, MA
(42.117789, -72.760397)",4
220060,"BETH ISRAEL DEACONESS HOSPITAL - PLYMOUTH","275 SANDWICH STREET",PLYMOUTH,MA,2360,5087462000,"Emergency Department",25,410,"275 SANDWICH STREET
PLYMOUTH, MA
(41.944246, -70.64472)",4
220020,"SAINT ANNE'S HOSPITAL","795 MIDDLE STREET","FALL RIVER",MA,2721,5086745600,"Emergency Department",38,375,"795 MIDDLE STREET
FALL RIVER, MA
(41.693321, -71.163642)",3
220108,"BETH ISRAEL DEACONESS HOSPITAL-MILTON INC","199 REEDSDALE ROAD",MILTON,MA,2186,6176964600,"Emergency Department",26,385,"199 REEDSDALE ROAD
MILTON, MA
(42.252352, -71.075213)",3
220077,"BAYSTATE MEDICAL CENTER","759 CHESTNUT STREET",SPRINGFIELD,MA,1199,4137940000,"Emergency Department",40,394,"759 CHESTNUT STREET
SPRINGFIELD, MA
(42.121712, -72.605956)",4
10012,"DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","FORT PAYNE",AL,35968,2568453150,"Emergency Department",32,428,"200 MED CENTER DRIVE
FORT PAYNE, AL
",3
420086,"PALMETTO HEALTH BAPTIST","1330 TAYLOR AT MARION ST",COLUMBIA,SC,29220,8032965678,"Emergency Department",36,481,"1330 TAYLOR AT MARION ST
COLUMBIA, SC
(34.007227, -81.033748)",2
220071,"MASSACHUSETTS GENERAL HOSPITAL","55 FRUIT STREET",BOSTON,MA,2114,6177262000,"Emergency Department",28,390,"55 FRUIT STREET
BOSTON, MA
(42.362409, -71.069556)",4
220074,"SOUTHCOAST HOSPITAL GROUP, INC","363 HIGHLAND AVENUE","FALL RIVER",MA,2720,5086793131,"Emergency Department",30,501,"363 HIGHLAND AVENUE
FALL RIVER, MA
(41.710584, -71.146181)",3
220035,"NORTH SHORE MEDICAL CENTER -","81 HIGHLAND AVENUE",SALEM,MA,1970,9787411215,"Emergency Department",53,370,"81 HIGHLAND AVENUE
SALEM, MA
(42.51204, -70.908564)",4
220075,"MASSACHUSETTS EYE AND EAR INFIRMARY -","243 CHARLES STREET",BOSTON,MA,2114,6175237900,"Emergency Department",71,440,"243 CHARLES STREET
BOSTON, MA
(42.36315, -71.070375)","Not Available"
220052,"SIGNATURE HEALTHCARE BROCKTON HOSPITAL","680 CENTER STREET",BROCKTON,MA,2302,5089417000,"Emergency Department",37,396,"680 CENTER STREET
BROCKTON, MA
(42.08621, -70.991083)",2
220110,"BRIGHAM AND WOMEN'S HOSPITAL","75 FRANCIS STREET",BOSTON,MA,2115,6177325500,"Emergency Department",24,380,"75 FRANCIS STREET
BOSTON, MA
(42.335814, -71.107434)",4
220046,"BERKSHIRE MEDICAL CENTER INC - 1","725 NORTH STREET",PITTSFIELD,MA,1201,4134472000,"Emergency Department",26,408,"725 NORTH STREET
PITTSFIELD, MA
(42.458748, -73.249004)",3
220070,"HALLMARK HEALTH SYSTEM","585 LEBANON STREET",MELROSE,MA,2176,7819793000,"Emergency Department",47,359,"585 LEBANON STREET
MELROSE, MA
(42.460055, -71.06193)",3
220024,"HOLYOKE MEDICAL CENTER","575 BEECH STREET",HOLYOKE,MA,1040,4135342500,"Emergency Department",44,480,"575 BEECH STREET
HOLYOKE, MA
(42.199616, -72.627087)",3
220030,"BAYSTATE WING HOSPITAL AND MEDICAL CENTERS","40 WRIGHT STREET",PALMER,MA,1069,4132837651,"Emergency Department",36,509,"40 WRIGHT STREET
PALMER, MA
(42.16813, -72.342457)",5
220080,"HOLY FAMILY HOSPITAL","70 EAST STREET",METHUEN,MA,1844,9786870156,"Emergency Department",31,370,"70 EAST STREET
METHUEN, MA
(42.725539, -71.165979)",4
10032,"WEDOWEE HOSPITAL","209 NORTH MAIN STREET",WEDOWEE,AL,36278,2563572111,"Emergency Department",24,430,"209 NORTH MAIN STREET
WEDOWEE, AL
",4
220073,"MORTON HOSPITAL","88 WASHINGTON STREET",TAUNTON,MA,2780,5088287000,"Emergency Department",40,352,"88 WASHINGTON STREET
TAUNTON, MA
(41.905583, -71.09435)",2
