CBSA Code,Metropolitan Division Code,CSA Code,CBSA Title,Metropolitan/Micropolitan Statistical Area,Metropolitan Division Title,CSA Title,County/County Equivalent,State Name,FIPS State Code,FIPS County Code,Central/Outlying County
10100,,,"Aberdeen, SD",Micropolitan Statistical Area,,,Brown,South Dakota,46.0,13.0,Central
10100,,,"Aberdeen, SD",Micropolitan Statistical Area,,,Edmunds,South Dakota,46.0,45.0,Outlying
10140,,,"Aberdeen, WA",Micropolitan Statistical Area,,,Grays Harbor,Washington,53.0,27.0,Central
10180,,,"Abilene, TX",Metropolitan Statistical Area,,,Callahan,Texas,48.0,59.0,Outlying
10180,,,"Abilene, TX",Metropolitan Statistical Area,,,Jones,Texas,48.0,253.0,Outlying
10180,,,"Abilene, TX",Metropolitan Statistical Area,,,Taylor,Texas,48.0,441.0,Central
10220,,,"Ada, OK",Micropolitan Statistical Area,,,Pontotoc,Oklahoma,40.0,123.0,Central
10260,,434.0,"Adjuntas, PR",Micropolitan Statistical Area,,"Ponce-Coamo-Santa Isabel, PR",Adjuntas,Puerto Rico,72.0,1.0,Central
10300,,220.0,"Adrian, MI",Micropolitan Statistical Area,,"Detroit-Warren-Ann Arbor, MI",Lenawee,Michigan,26.0,91.0,Central
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Aguada,Puerto Rico,72.0,3.0,Central
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Aguadilla,Puerto Rico,72.0,5.0,Central
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Añasco,Puerto Rico,72.0,11.0,Central
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Isabela,Puerto Rico,72.0,71.0,Central
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Lares,Puerto Rico,72.0,81.0,Central
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Moca,Puerto Rico,72.0,99.0,Central
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Rincón,Puerto Rico,72.0,117.0,Central
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,San Sebastián,Puerto Rico,72.0,131.0,Central
10380,,,"Aguadilla-Isabela, PR",Metropolitan Statistical Area,,,Utuado,Puerto Rico,72.0,141.0,Central
10420,,184.0,"Akron, OH",Metropolitan Statistical Area,,"Cleveland-Akron-Canton, OH",Portage,Ohio,39.0,133.0,Central
10420,,184.0,"Akron, OH",Metropolitan Statistical Area,,"Cleveland-Akron-Canton, OH",Summit,Ohio,39.0,153.0,Central
10460,,,"Alamogordo, NM",Micropolitan Statistical Area,,,Otero,New Mexico,35.0,35.0,Central
10500,,,"Albany, GA",Metropolitan Statistical Area,,,Baker,Georgia,13.0,7.0,Outlying
10500,,,"Albany, GA",Metropolitan Statistical Area,,,Dougherty,Georgia,13.0,95.0,Central
10500,,,"Albany, GA",Metropolitan Statistical Area,,,Lee,Georgia,13.0,177.0,Central
10500,,,"Albany, GA",Metropolitan Statistical Area,,,Terrell,Georgia,13.0,273.0,Outlying
10500,,,"Albany, GA",Metropolitan Statistical Area,,,Worth,Georgia,13.0,321.0,Outlying
10540,,440.0,"Albany, OR",Metropolitan Statistical Area,,"Portland-Vancouver-Salem, OR-WA",Linn,Oregon,41.0,43.0,Central
10580,,104.0,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,,"Albany-Schenectady, NY",Albany,New York,36.0,1.0,Central
