id,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,LONG,LAT
0,CLINIC WITH A HEART,402-421-2924,6040 VILLAGE DRIVE,SUITE 200,LINCOLN,NE,68516,-96.6639095,40.7510677
1,NORMAN REGIONAL URGENT CARE CENTER,405-321-7100,800 24TH AVENUE NORTHWEST, ,NORMAN,OK,73069,-97.4798921,35.228168100000005
2,BEST CARE MEDICAL CENTER,405-216-5565,1265 EAST 33RD STREET, ,EDMOND,OK,73013,-97.4636943,35.623985100000006
3,INDUSTRIAL CLINIC AND FAMILY PRACTICE,713-453-8328,13125 EAST FREEWAY, ,HOUSTON,TX,77015,-95.1928862,29.7716701
4,CALDER URGENT CARE,281-557-4404,1100 GULF FREEWAY SOUTH,SUITE 230,LEAGUE CITY,TX,77573,-95.1082756,29.494920500000003
5,EMERGICARE MEDICAL CLINICS,719-590-1701,402 WEST GARDEN OF THE GODS ROAD, ,COLORADO SPRINGS,CO,80907,-104.827464,38.8973185
6,CONCENTRA MEDICAL CENTER - TUCSON CENTRAL,520-881-0050,3402 EAST BROADWAY BOULEVARD, ,TUCSON,AZ,85716,-110.9200658,32.2212603
7,EL DORADO URGENT CARE,520-884-4999,1400 NORTH WILMOT ROAD, ,TUCSON,AZ,85712,-110.85596070000001,32.2397608
8,ROCKY MOUNTAIN CARE CLINIC,801-975-7799,1775 SOUTH 4130 WEST, ,SALT LAKE CITY,UT,84104,-111.9894168,40.7318881
9,SAINT JOHNS DOCTOR AFTER HOURS- ROLLA,573-341-3043,1100 WEST 10TH STREET, ,ROLLA,MO,65401,-91.7875672,37.9518727
10,SAINT ELIZABETHS HOSPITAL MONROE COUNTY MEDICAL BUILDING URGICARE,618-281-9005,9538 CARING WAY, ,COLUMBIA,IL,62236,-90.1654866,38.414242
11,INTEGRITY URGENT CARE,719-591-2558,4323 INTEGRITY CENTER POINT, ,COLORADO SPRINGS,CO,80917,-104.7208109,38.8943658
12,CATHOLIC URGENT CARE - GILBERT,480-728-4100,1501 NORTH GILBERT ROAD, ,GILBERT,AZ,85234,-111.78830559999999,33.3759817
13,LONGMONT CLINIC URGENT CARE,303-776-1234,1925 MOUNTAIN VIEW AVENUE, ,LONGMONT,CO,80501,-105.12465120000002,40.180721999999996
14,KOKE MILL EXPRESS CARE,217-862-0062,3132 OLD JACKSONVILLE ROAD,SUITE 110,SPRINGFIELD,IL,62704,-89.714507,39.7850546
15,CAPE URGENT CARE AND FAMILY PRACTICE,573-332-8400,1353 NORTH MOUNT AUBURN ROAD, ,CAPE GIRARDEAU,MO,63701,-89.5728146,37.3258018
16,SAINT LUKES URGENT CARE CENTER - WINGHAVEN,636-695-2500,5551 WINGHAVEN BOULEVARD,SUITE 142,O FALLON,MO,63368,-90.7476525,38.752204600000006
17,SOUTHERN ILLINOIS HEALTHCARE FOUNDATION URGENT CARE,618-332-2740,6000 BOND AVENUE, ,EAST SAINT LOUIS,IL,62207,-90.1076919,38.5691755
18,DECATUR MEMORIAL HOSPITAL EXPRESS CARE - NORTH,217-876-5320,3131 NORTH WATER STREET, ,DECATUR,IL,62526,-88.9555628,39.879019299999996
19,SAINT ELIZABETHS HOSPITAL O'FALLON MEDICAL PARK URGICARE,618-624-3750,1512 NORTH GREEN MOUNT ROAD, ,O FALLON,IL,62269,-89.928291,38.5859355
20,COURSEY URGENT CARE,225-755-1400,13702 COURSEY BOULEVARD, ,BATON ROUGE,LA,70817,-91.0264708,30.4077412
21,BANNER HEALTH - SKYLINE URGENT CARE,970-461-6140,2555 EAST 13TH STREET,SUITE 110,LOVELAND,CO,80537,-105.04073329999999,40.406600399999995
22,COLLEGE PARK FAMILY CARE CENTER,913-469-5579,11725 WEST 112TH STREET, ,OVERLAND PARK,KS,66210,-94.71908379999999,38.92621810000001
23,DECATUR MEMORIAL HOSPITAL EXPRESS CARE - WEST,217-876-5820,1663 WEST KING STREET, ,DECATUR,IL,62522,-88.9809908,39.847871000000005
24,WESTBANK URGENT CARE,504-393-2273,148 WALL BOULEVARD, ,GRETNA,LA,70056,-90.0314932,29.8869229
25,BACH URGENT CARE CLINIC,225-638-6640,230 ROBERTS DRIVE,SUITE C,NEW ROADS,LA,70760,-91.4624001,30.683894800000004
26,MID CITY URGENT CARE AND OCCUPATIONAL HEALTH CLINIC,225-381-6249,3870 CONVENTION STREET, ,BATON ROUGE,LA,70806,-91.15038440000001,30.449131800000004
27,OAKRIDGE URGENT CARE,817-599-5518,200 SOUTH OAKRIDGE DRIVE,SUITE 106,HUDSON OAKS,TX,76087,-97.7127704,32.754376199999996
28,EMERGENT CARE PLUS,816-554-2600,2741 NORTHEAST MCBAIN DRIVE, ,LEES SUMMIT,MO,64064,-94.3599797,38.9627842
29,SHAMROCK CLINIC - NORTH,325-658-7561,2239 NORTH BRYANT BOULEVARD, ,SAN ANGELO,TX,76903,-100.4566205,31.479743199999998
30,SHAMROCK CLINIC - SOUTH,325-942-8611,4208 COLLEGE HILLS BOULEVARD, ,SAN ANGELO,TX,76904,-100.4829393,31.4216907
31,URGENT CARE OF WOODWARD,580-254-5313,1715 MAIN STREET, ,WOODWARD,OK,73801,-99.4016652,36.435652399999995
32,DURANGO URGENT CARE,970-247-8382,1800 EAST 3RD AVENUE,SUITE 112,DURANGO,CO,81301,-107.874348,37.2829374
33,AVON URGENT CARE,970-949-6100,230 CHAPEL PLACE, ,AVON,CO,81620,-106.5186537,39.632991100000005
34,BALLARD COUNTY MEDICAL CLINIC,270-334-3131,120 SOUTH 4TH STREET, ,BARLOW,KY,42024,-89.04693449999999,37.051516
35,STATCARE FAMILY MEDICAL CLINIC AND MINOR EMERGENCY CENTER,785-827-6453,1001 SOUTH OHIO STREET, ,SALINA,KS,67401,-97.5934859,38.819520399999995
36,FAMILY PRACTICE AND URGENT CARE,719-282-6337,7621 AUSTIN BLUFFS PARKWAY,SUITE 200,COLORADO SPRINGS,CO,80920,-104.73876690000002,38.9406414
37,FORT GIBSON MEDICAL CLINIC,918-478-2101,105 LONE OAK CIRCLE, ,FORT GIBSON,OK,74434,-95.2439095,35.786414
38,PATIENTS FIRST URGENT CARE - WASHINGTON,636-390-1700,901 PATIENTS FIRST DRIVE, ,WASHINGTON,MO,63090,-91.0039926,38.5483977
39,CRYSTAL SPRINGS CLINIC,601-892-2225,123 BOBO DRIVE, ,CRYSTAL SPRINGS,MS,39059,-90.36615069999999,31.991054499999997
40,OZARK URGENT CARE,479-770-4343,114 HARRISON AVENUE,SUITE B,LOWELL,AR,72745,-94.135319,36.2529365
41,DOCTOR D'S URGENT CARE,281-292-1310,26222 INTERSTATE 45, ,SPRING,TX,77386,-95.4456182,30.1434464
42,SOUTHEAST KANSAS URGENT CARE - PITTSBURG,620-231-8003,200 EAST CENTENNIAL DRIVE, ,PITTSBURG,KS,66762,-94.70426009999998,37.381271999999996
43,BARNES JEWISH CHRISTIAN URGENT CARE CENTER - O FALLON,636-980-5300,2630 STATE HIGHWAY K, ,O FALLON,MO,63368,-90.69897759999999,38.7719656
